year	month	day	hour	min	sec	latitude	longitude	depth	magnitude	magtype	eventID
2017	1	10	10	1	33	14.6898	144.34	10	5.7	Mw	2.01701E+11
2017	1	10	12	44	53	38.433	21.7132	10	4.5	Mb	2.01701E+11
2017	1	10	13	48	36	14.781	144.4887	10	4.5	Mb	2.01701E+11
2017	1	10	14	19	28	50.335	-173.5967	20.8	4.5	Mb	2.01701E+11
2017	1	10	14	56	27	-8.7054	160.3772	65.83	4.5	Mb	2.01701E+11
2017	1	10	15	27	15	-10.1132	161.0271	26	6.3	Mw	2.01701E+11
2017	1	10	16	21	56	27.6035	139.9749	461.89	4.8	Mb	2.01701E+11
2017	1	10	17	10	53	-8.1619	117.5641	19.42	4.6	Mb	2.01701E+11
2017	1	10	18	8	56	-24.6943	179.9731	512.67	4.5	Mb	2.01701E+11
2017	1	10	18	30	28	-10.1059	161.0604	10.19	4.7	Mb	2.01701E+11
2017	1	10	20	19	2	-10.6092	161.232	11.15	4.5	Mb	2.01701E+11
2017	1	11	0	27	27	-18.481	-177.5311	583.61	4.5	Mb	2.01701E+11
2017	1	11	2	36	30	0.6184	-80.0216	10	4.9	Mw	2.01701E+11
2017	1	11	2	49	19	-6.1217	154.463	68.71	5.1	Mb	2.01701E+11
2017	1	11	6	24	54	13.4422	124.1124	75.03	4.8	Mb	2.01701E+11
2017	1	11	14	6	4	-15.5259	167.5957	132.97	4.5	Mb	2.01701E+11
2017	1	11	14	21	0	12.2538	141.0433	10	4.9	Mb	2.01701E+11
2017	1	11	14	22	47	12.2128	141.0636	10	4.6	Mb	2.01701E+11
2017	1	11	14	28	4	40.643	52.0062	34.01	4.6	Mb	2.01701E+11
2017	1	11	14	35	57	12.2122	141.0677	10	4.5	Mb	2.01701E+11
2017	1	11	14	38	39	12.2194	141.0655	8	5.2	Mw	2.01701E+11
2017	1	11	14	43	35	12.2876	141.097	10	4.9	Mb	2.01701E+11
2017	1	11	14	55	47	12.264	141.1004	10	4.7	Mb	2.01701E+11
2017	1	11	15	50	29	34.3722	22.4629	21.48	4.5	Mb	2.01701E+11
2017	1	11	16	6	43	-42.9346	83.0597	10	4.8	Mb	2.01701E+11
2017	1	11	16	23	4	12.2507	141.0616	10	4.9	Mb	2.01701E+11
2017	1	11	17	19	56	-31.0478	-68.0056	1.7	4.7	Mb	2.01701E+11
2017	1	11	18	35	40	-5.8244	148.9191	121.9	4.9	Mb	2.01701E+11
2017	1	11	19	42	48	51.3838	-177.9765	46.5	4.9	Mb	2.01701E+11
2017	1	11	20	6	9	-20.5214	-178.0442	557.16	4.7	Mb	2.01701E+11
2017	1	11	20	15	9	3.6015	128.6277	21.94	4.6	Mb	2.01701E+11
2017	1	11	21	5	55	-60.6403	-26.4981	10	4.7	Mb	2.01701E+11
2017	1	11	21	10	34	12.2698	141.0872	10	4.5	Mb	2.01701E+11
2017	1	11	21	41	7	12.2624	141.1466	21.17	5	Mb	2.01701E+11
2017	1	11	21	58	18	-22.821	-69.8033	72	5.8	Mw	2.01701E+11
2017	1	11	22	6	59	-20.16	46.6469	7.26	5.5	Mw	2.01701E+11
2017	1	11	22	13	56	-22.7746	-69.8007	72.96	4.7	Mb	2.01701E+11
2017	1	12	0	36	30	36.1293	140.1314	77.5	4.5	Mb	2.01701E+11
2017	1	12	0	37	41	3.5287	128.7517	10	4.5	Mb	2.01701E+11
2017	1	12	3	22	47	13.9092	-91.2441	53.5	5.3	Mw	2.01701E+11
2017	1	12	4	38	54	-26.8523	-176.9416	64.42	4.9	Mb	2.01701E+11
2017	1	12	8	38	25	-21.1744	-177.8252	479.04	4.6	Mb	2.01701E+11
2017	1	12	9	0	6	-18.0907	-69.1322	135.26	4.8	Mw	2.01701E+11
2017	1	12	9	32	8	26.4049	95.364	68.8	4.5	Mb	2.01701E+11
2017	1	12	10	26	54	16.569	-98.4694	10	5	Mb	2.01701E+11
2017	1	12	11	51	38	-15.0735	-177.5644	388.39	4.5	Mb	2.01701E+11
2017	1	12	13	29	6	-5.2669	102.7235	22.95	5.5	Mb	2.01701E+11
2017	1	12	15	40	40	-0.6855	67.502	14.8	4.5	Mb	2.01701E+11
2017	1	12	15	58	52	22.9892	144.525	10	4.5	Mb	2.01701E+11
2017	1	12	16	6	32	6.053	-77.9283	4.54	5.2	Mw	2.01701E+11
2017	1	12	16	36	31	-10.3839	161.4311	55.97	4.6	Mb	2.01701E+11
2017	1	12	17	5	0	41.7468	132.9867	497.86	5.4	Mw	2.01701E+11
2017	1	12	18	31	41	-24.1597	-179.3023	491.61	4.7	Mb	2.01701E+11
2017	1	12	19	19	58	5.7547	94.7976	88.13	4.9	Mb	2.01701E+11
2017	1	12	19	23	58	-30.3796	-71.5763	32.87	4.7	Mb	2.01701E+11
2017	1	12	19	39	42	9.9076	125.7257	90.89	4.6	Mb	2.01701E+11
2017	1	12	19	45	1	-7.4129	106.9319	93.58	4.5	Mb	2.01701E+11
2017	1	12	20	23	21	-22.2129	172.6128	35	4.6	Mb	2.01701E+11
2017	1	13	1	20	52	37.4728	141.5311	10	4.5	Mb	2.01701E+11
2017	1	13	3	25	31	35.6593	140.772	49.46	5	Mw	2.01701E+11
2017	1	13	5	30	52	-6.7394	68.5291	10	5.1	Mb	2.01701E+11
2017	1	13	5	31	59	-10.6812	161.9186	34.63	4.8	Mb	2.01701E+11
2017	1	13	5	46	9	52.5112	-176.3948	182.07	4.7	Mb	2.01701E+11
2017	1	13	6	10	21	12.2556	141.0651	10	4.8	Mb	2.01701E+11
2017	1	13	6	42	59	-6.2379	147.567	63.36	4.9	Mb	2.01701E+11
2017	1	13	9	23	43	0.8074	100.4996	244.67	4.5	Mb	2.01701E+11
2017	1	13	11	16	20	-25.4894	179.795	513.81	4.5	Mb	2.01701E+11
2017	1	13	12	12	6	37.1471	22.1895	10	4.5	Mb	2.01701E+11
2017	1	13	12	28	39	26.4198	127.9091	48.17	4.6	Mb	2.01701E+11
2017	1	13	13	14	47	-58.8544	-26.239	145.17	5.1	Mb	2.01701E+11
2017	1	13	13	34	52	-3.4584	126.8844	41.92	4.5	Mb	2.01701E+11
2017	1	13	16	39	25	0.0303	125.077	42	5.7	Mw	2.01701E+11
2017	1	13	17	2	29	-9.0163	-109.6224	10	4.8	Mb	2.01701E+11
2017	1	13	23	6	48	2.7512	126.819	38	4.7	Mb	2.01701E+11
2017	1	13	23	27	18	-20.1471	-176.0259	178.44	4.7	Mb	2.01701E+11
2017	1	14	6	11	41	-18.6205	176.2365	3.92	5.9	Mw	2.01701E+11
2017	1	14	6	34	38	-18.7789	176.3655	10	4.7	Mb	2.01701E+11
2017	1	14	6	41	4	-2.5841	128.9744	38.96	4.8	Mb	2.01701E+11
2017	1	14	9	31	47	-18.7279	176.3398	25.27	4.9	Mb	2.01701E+11
2017	1	14	10	34	51	-15.1195	-173.2461	10	5.5	Mw	2.01701E+11
2017	1	14	11	41	19	1.2682	126.4049	22.67	5.4	Mw	2.01701E+11
2017	1	14	15	19	40	33.5065	138.217	284.75	4.5	Mb	2.01701E+11
2017	1	14	18	19	29	-29.9897	-177.4664	10	4.8	Mb	2.01701E+11
2017	1	14	18	25	23	-18.7481	176.4733	26.16	4.5	Mb	2.01701E+11
2017	1	14	18	25	43	-18.6545	176.0894	4.39	5.7	Mw	2.01701E+11
2017	1	14	18	43	33	-10.9463	161.4534	36.59	5.2	Mb	2.01701E+11
2017	1	14	18	56	48	-18.4797	176.4842	25.75	5.1	Mb	2.01701E+11
2017	1	14	19	2	21	-18.489	176.1943	10	4.5	Mb	2.01701E+11
2017	1	14	20	49	35	-55.8952	-27.5633	10	4.6	Mb	2.01701E+11
2017	1	14	21	19	30	-18.7075	176.3742	10	4.5	Mb	2.01701E+11
2017	1	14	22	0	9	-20.0604	-173.2191	10	4.8	Mb	2.01701E+11
2017	1	14	23	10	9	-5.6126	146.8176	146.96	5	Mb	2.01701E+11
2017	1	15	8	14	41	-56.4605	-150.5141	10	4.9	Mb	2.01701E+11
2017	1	15	8	48	25	-22.5256	-68.6159	107.87	4.6	Mb	2.01701E+11
2017	1	15	9	9	1	-2.0394	128.5177	43.51	4.5	Mb	2.01701E+11
2017	1	15	9	29	37	-30.0336	-177.6575	36.74	4.7	Mb	2.01701E+11
2017	1	15	9	44	51	-0.1702	-80.6566	37.13	4.6	Mb	2.01701E+11
2017	1	15	10	5	40	28.0958	104.765	31.99	4.5	Mb	2.01701E+11
2017	1	15	12	13	8	-10.7341	161.5261	45.13	4.5	Mb	2.01701E+11
2017	1	15	13	18	10	38.9043	70.6922	6.01	4.6	Mb	2.01701E+11
2017	1	15	14	13	0	14.398	-90.1891	211.92	4.6	Mb	2.01701E+11
2017	1	15	15	26	29	-6.2209	154.5277	35	4.7	Mb	2.01701E+11
