DateTime	Latitude	Longitude	Depth	Magnitude
2014-04-20	28.084	143.0292	34.21	4.9
2014-04-21	42.5047	143.6209	78.04	4.6
2014-04-21	35.5699	141.0879	16.34	4.6
2014-04-22	33.6917	140.8961	49.5	4.9
2014-04-23	27.5314	129.3528	37.34	5
2014-04-24	30.4414	140.8115	35.69	4.6
2014-04-24	36.5033	140.6432	67.25	4.4
2014-04-25	42.409	143.1734	87.5	4.1
2014-04-26	28.579	129.729	57.29	4.5
2014-04-29	38.1526	141.743	74.16	4.5
2014-05-01	39.523	142.2461	56.69	4.2
2014-05-01	32.3226	138.625	82.95	4.5
2014-05-02	37.852	144.2342	15.97	5.6
2014-05-02	37.8368	144.4084	10	4.4
2014-05-02	37.8171	144.3391	33.4	4.5
2014-05-02	37.8516	144.3313	20.19	4.6
2014-05-02	37.8414	144.4012	27.88	4.6
2014-05-03	36.2336	137.6203	10	4.2
2014-05-03	36.2883	137.6696	5.73	4.4
2014-05-03	36.2567	137.5918	10	4.5
2014-05-03	37.2728	141.5028	48.86	4.5
2014-05-03	38.9183	142.7779	58.58	4.5
2014-05-03	29.5456	141.2609	35.77	4.2
2014-05-04	37.8577	144.3658	34.99	4.1
2014-05-04	38.9009	141.9769	61.73	4.2
2014-05-04	32.0747	132.0353	40.64	4.5
2014-05-04	29.2675	128.44	194.21	4.3
2014-05-04	36.0884	139.9005	50.97	4.5
2014-05-04	34.9118	139.4186	153	6
2014-05-05	36.3289	141.9964	39.24	4.1
2014-05-05	41.4316	142.1105	65.35	4.6
2014-05-06	37.7872	142.7477	14.62	4.7
2014-05-07	40.8393	145.1163	10	4.5
2014-05-08	39.3997	144.8461	10	4.3
2014-05-08	36.9286	141.4774	22.71	4.6
2014-05-08	34.5965	141.5834	25.08	4.8
2014-05-09	25.3779	123.8514	158.95	4.4
2014-05-11	36.1481	142.3639	32.3	4.7
2014-05-11	30.4233	138.2163	452.44	4
2014-05-12	33.8554	141.8463	17.65	4.1
2014-05-12	28.2884	138.839	529.28	4.5
2014-05-12	39.6737	142.3021	71.07	4.5
2014-05-12	38.3755	144.9971	23.99	4.8
2014-05-12	35.5972	140.0595	55.34	5.1
2014-05-13	41.9765	142.5506	59.18	4.9
2014-05-14	37.4772	134.1566	412.27	4.2
2014-05-15	28.6075	128.5919	139.4	4.3
2014-05-15	35.0598	139.2843	126.87	4.8
2014-05-15	26.3075	128.7439	24.63	4.3
2014-05-16	36.4896	141.9918	32.91	4.4
2014-05-16	24.8673	124.721	36.14	4.3
2014-05-16	24.7749	124.7935	36.77	4.4
2014-05-16	24.6366	124.792	34.76	4.5
2014-05-16	24.6577	124.8363	34.86	4.3
2014-05-17	36.3885	142.6791	31.82	4.5
2014-05-17	36.5452	141.1955	99.13	4.4
2014-05-17	38.3004	133.9047	436.52	4.2
2014-05-18	27.9691	143.0034	26.58	4.2
2014-05-18	24.4493	141.5817	138.75	4.6
2014-05-18	28.0895	143.0114	34.91	4.6
2014-05-19	26.3757	142.4181	19.67	4.7
